iter	Logloss
0	0.6892578301
1	0.6813147299
2	0.6732640207
3	0.6664513369
4	0.6581699458
5	0.6526625331
6	0.6467794784
7	0.6404539133
8	0.6342131096
9	0.6279171755
10	0.6210178678
11	0.6151196862
12	0.6082031537
13	0.602952461
14	0.5975061885
15	0.5928053353
16	0.5884370189
17	0.5844320707
18	0.5791723848
19	0.5751255839
20	0.5704351896
21	0.5657053606
22	0.5602463728
23	0.5559425012
24	0.5515618114
25	0.5465707698
26	0.5419293174
27	0.5371974453
28	0.5336125761
29	0.5297501566
30	0.5256806998
31	0.5211971686
32	0.5177732809
33	0.513679727
34	0.510520119
35	0.5070992875
36	0.5035134921
37	0.5002726185
38	0.4975650821
39	0.493652246
40	0.4904659772
41	0.4877939499
42	0.4844711231
43	0.4825653617
44	0.4795845256
45	0.4769052699
46	0.4737949098
47	0.4708505933
48	0.4672972577
49	0.4635283072
50	0.4601395431
51	0.4579477785
52	0.4548299168
53	0.4530263949
54	0.4499120096
55	0.4473022145
56	0.4444507316
57	0.4413731851
58	0.4388936768
59	0.4362638673
60	0.4338188675
61	0.4324973835
62	0.4298864881
63	0.4274412763
64	0.4254289065
65	0.4231670437
66	0.4213729106
67	0.4195389637
68	0.4174901485
69	0.4153573632
70	0.4127645499
71	0.4109327959
72	0.4087810408
73	0.4070541267
74	0.4051039247
75	0.4039708403
76	0.4012751495
77	0.3992603181
78	0.3967016346
79	0.3947577666
80	0.3927515655
81	0.391035196
82	0.3892838664
83	0.3874061328
84	0.3854434768
85	0.3833475309
86	0.3816431222
87	0.3798359365
88	0.3785696591
89	0.3766941498
90	0.3756463251
91	0.374289796
92	0.3724098335
93	0.3709337981
94	0.3695430845
95	0.3680985817
96	0.3667401819
97	0.3652609612
98	0.3641433153
99	0.3629060769
100	0.3621694642
101	0.3611001979
102	0.3598284599
103	0.3589876193
104	0.3577077258
105	0.3563172931
106	0.3550759894
107	0.3537031825
108	0.3523919887
109	0.3507245349
110	0.3497752182
111	0.349276605
112	0.3483738641
113	0.3481123567
114	0.3470638541
115	0.3459098609
116	0.3447876056
117	0.3437995416
118	0.3429991142
119	0.3420589241
120	0.3410911969
121	0.3405366298
122	0.3396585581
123	0.3385402614
124	0.3375342124
125	0.3368195766
126	0.3358185366
127	0.3347635927
128	0.3340988442
129	0.3333176954
130	0.3323823441
131	0.3314071544
132	0.3303526327
133	0.3294367151
134	0.3288158854
135	0.3280584812
136	0.3273760088
137	0.3270220202
138	0.326185534
139	0.3248815889
140	0.3239340481
141	0.3232003823
142	0.3223491958
143	0.3212341799
144	0.3202469203
145	0.3194041916
146	0.3187745512
147	0.3182022398
148	0.3173105176
149	0.3165552038
150	0.3159362972
151	0.3153898885
152	0.3144719947
153	0.313767927
154	0.3129973192
155	0.3122585746
156	0.3116552342
157	0.3110071642
158	0.3100875426
159	0.3097414015
160	0.3090604478
161	0.3083689483
162	0.3078678915
163	0.3073097814
164	0.3062494042
165	0.3054905048
166	0.3050255832
167	0.304268015
168	0.3035333498
169	0.302707894
170	0.3019337917
171	0.3012597619
172	0.3005412578
173	0.3001729025
174	0.2994962559
175	0.2987627312
176	0.2983283851
177	0.2978363948
178	0.2971431911
179	0.2963507276
180	0.2958305552
181	0.2951817447
182	0.2946610013
183	0.2940445944
184	0.2935741679
185	0.2929904062
186	0.2924192815
187	0.2919378548
188	0.29142217
189	0.2910098703
190	0.2904955448
191	0.289807767
192	0.2893496538
193	0.2887670094
194	0.2882626296
195	0.2879120976
196	0.2875658073
197	0.2872374715
198	0.2867554313
199	0.2861432081
200	0.2856687682
201	0.285088528
202	0.2847338243
203	0.2843585259
204	0.2839781906
205	0.2832992628
206	0.2827860072
207	0.2823791373
208	0.2818960382
209	0.2814100578
210	0.281260472
211	0.2809938522
212	0.280566788
213	0.279903884
214	0.2792504901
215	0.2789677329
216	0.2783482791
217	0.2780669452
218	0.2776669586
219	0.2773146471
220	0.2767857113
221	0.2763065368
222	0.2760507805
223	0.2755277713
224	0.2749257067
225	0.2746358151
226	0.2744932996
227	0.2740426642
228	0.2735486597
229	0.2728509046
230	0.272656198
231	0.2723552844
232	0.2718428826
233	0.2714702013
234	0.2709261221
235	0.2704606444
236	0.2700695356
237	0.2696221258
238	0.2692750021
239	0.2690096039
240	0.2685301252
241	0.2680629664
242	0.2676563928
243	0.2670266941
244	0.2667244972
