iter	Passed	Remaining
0	2	2515
1	7	3679
2	11	3681
3	15	3890
4	20	4104
5	24	4118
6	29	4125
7	34	4285
8	38	4219
9	43	4261
10	48	4318
11	52	4291
12	55	4203
13	61	4297
14	65	4277
15	68	4217
16	71	4119
17	74	4042
18	79	4114
19	83	4096
20	86	4048
21	91	4084
22	96	4112
23	99	4051
24	103	4052
25	108	4058
26	112	4052
27	115	4016
28	121	4054
29	125	4047
30	129	4043
31	132	4020
32	137	4026
33	140	3992
34	143	3947
35	148	3966
36	152	3965
37	155	3936
38	158	3916
39	162	3896
40	164	3855
41	166	3808
42	169	3774
43	172	3745
44	176	3736
45	178	3696
46	180	3655
47	182	3618
48	184	3586
49	188	3573
50	190	3547
51	192	3505
52	194	3483
53	196	3443
54	198	3412
55	200	3381
56	204	3385
57	207	3362
58	209	3337
59	211	3318
60	214	3299
61	216	3279
62	220	3276
63	222	3252
64	224	3231
65	226	3209
66	229	3190
67	232	3186
68	234	3169
69	237	3153
70	239	3134
71	242	3122
72	244	3110
73	247	3101
74	250	3085
75	251	3059
76	254	3048
77	256	3034
78	259	3028
79	262	3024
80	265	3009
81	267	2993
82	269	2979
83	272	2968
84	275	2966
85	277	2953
86	280	2941
87	282	2928
88	284	2914
89	286	2900
90	290	2901
91	293	2893
92	295	2880
93	297	2867
94	299	2855
95	303	2854
96	306	2853
97	308	2840
98	310	2830
99	313	2822
100	316	2815
101	319	2809
102	321	2803
103	324	2795
104	327	2789
105	330	2785
106	333	2784
107	335	2774
108	338	2762
109	340	2754
110	342	2743
111	344	2728
112	347	2728
113	348	2710
114	351	2701
115	353	2691
116	355	2680
117	357	2671
118	361	2676
119	363	2667
120	366	2660
121	368	2652
122	371	2645
123	373	2638
124	376	2636
125	378	2628
126	381	2622
127	383	2614
128	386	2606
129	389	2603
130	392	2601
131	394	2592
132	396	2584
133	398	2576
134	400	2564
135	402	2559
136	405	2555
137	407	2542
138	409	2534
139	411	2527
140	414	2522
141	416	2516
142	420	2518
143	422	2510
144	424	2503
145	426	2495
146	429	2489
147	431	2484
148	435	2486
149	437	2477
150	439	2470
151	441	2463
152	443	2456
153	447	2457
154	450	2455
155	453	2451
156	455	2446
157	457	2439
158	460	2437
159	463	2431
160	465	2424
161	467	2418
162	470	2414
163	472	2408
164	475	2406
165	478	2406
166	480	2399
167	483	2394
168	485	2389
169	488	2384
170	491	2384
171	495	2385
172	499	2385
173	501	2381
174	506	2386
175	508	2379
176	510	2372
177	512	2367
178	514	2361
179	516	2354
180	520	2353
181	522	2346
182	524	2341
183	526	2336
184	529	2331
185	531	2327
186	535	2326
187	537	2320
188	539	2315
189	541	2308
190	543	2302
191	547	2303
192	550	2301
193	552	2295
194	555	2292
195	557	2286
196	559	2282
197	563	2280
198	565	2277
199	568	2273
200	570	2268
201	573	2266
202	577	2267
203	579	2262
204	582	2258
205	584	2254
206	587	2250
207	590	2249
208	593	2247
209	596	2242
210	598	2236
211	600	2231
212	602	2227
213	606	2228
214	609	2224
215	611	2219
216	613	2214
217	616	2209
218	618	2207
219	621	2204
220	623	2199
221	626	2194
222	628	2189
223	630	2185
224	634	2185
225	638	2185
226	640	2181
227	642	2177
228	645	2171
229	648	2170
230	650	2166
231	652	2160
232	654	2155
233	656	2149
234	658	2144
235	661	2142
236	664	2139
237	666	2135
238	669	2130
239	671	2126
240	673	2122
241	676	2119
242	680	2118
243	682	2115
244	684	2110
245	687	2106
246	690	2103
247	693	2102
248	695	2098
249	698	2095
250	700	2090
251	703	2088
252	706	2085
253	708	2081
254	711	2078
255	713	2073
256	715	2068
257	718	2066
258	721	2065
259	723	2060
260	726	2056
261	728	2052
262	731	2049
263	735	2049
264	737	2045
265	739	2041
266	741	2036
267	744	2032
268	746	2029
269	750	2028
270	752	2024
271	754	2019
272	757	2016
273	759	2011
274	763	2012
275	765	2008
276	767	2004
277	770	2000
278	773	1997
279	775	1994
280	777	1989
281	780	1987
282	783	1983
283	785	1981
284	789	1980
285	792	1979
286	794	1974
287	797	1972
288	800	1968
289	802	1965
290	806	1964
291	808	1961
292	811	1957
293	814	1955
294	817	1953
295	820	1951
296	823	1948
297	825	1944
298	827	1940
299	830	1937
300	833	1935
301	836	1933
302	838	1929
303	841	1925
304	844	1923
305	847	1923
306	851	1920
307	853	1918
308	858	1918
309	862	1919
310	865	1918
311	868	1914
312	870	1910
313	873	1907
314	878	1909
315	880	1906
316	883	1904
317	886	1901
318	889	1899
319	892	1897
320	895	1894
321	899	1893
322	902	1890
323	906	1891
324	909	1889
325	912	1887
326	916	1885
327	919	1883
328	922	1881
329	925	1879
330	928	1876
331	931	1873
332	935	1874
333	941	1876
334	943	1872
335	946	1869
336	950	1870
337	953	1866
338	955	1862
339	957	1858
340	959	1854
341	963	1854
342	967	1852
343	969	1849
344	982	1864
345	985	1863
346	989	1861
347	993	1861
348	997	1860
349	1000	1858
350	1003	1855
351	1008	1856
352	1012	1855
353	1015	1853
354	1019	1851
355	1023	1852
356	1028	1851
357	1031	1850
358	1035	1849
359	1040	1850
360	1045	1850
361	1048	1848
362	1054	1849
363	1057	1847
364	1060	1845
365	1063	1842
366	1067	1841
367	1070	1839
368	1073	1836
369	1077	1834
370	1082	1834
371	1085	1833
372	1089	1830
373	1093	1830
374	1097	1829
375	1101	1827
376	1103	1824
377	1106	1820
378	1111	1821
379	1114	1817
380	1116	1814
381	1119	1810
382	1121	1806
383	1125	1805
384	1129	1803
385	1131	1799
386	1133	1795
387	1136	1791
388	1141	1792
389	1144	1789
390	1146	1785
391	1148	1781
392	1150	1777
393	1154	1775
394	1157	1772
395	1159	1768
396	1162	1765
397	1164	1761
398	1167	1758
399	1171	1756
400	1173	1753
401	1176	1749
402	1178	1745
403	1180	1741
404	1184	1740
405	1186	1736
406	1189	1732
407	1191	1728
408	1193	1724
409	1196	1721
410	1201	1721
411	1203	1717
412	1205	1713
413	1207	1709
414	1210	1706
415	1214	1704
416	1216	1701
417	1218	1697
418	1221	1693
419	1223	1689
420	1230	1691
421	1233	1689
422	1235	1685
423	1237	1681
424	1242	1680
425	1245	1678
426	1248	1675
427	1250	1671
428	1253	1668
429	1257	1666
430	1259	1663
431	1262	1659
432	1264	1655
433	1266	1651
434	1271	1651
435	1273	1647
436	1276	1644
437	1278	1640
438	1281	1637
439	1296	1650
440	1300	1648
441	1303	1645
442	1306	1642
443	1310	1641
444	1313	1637
445	1319	1638
446	1321	1634
447	1323	1630
448	1326	1627
449	1328	1623
450	1332	1622
451	1334	1618
452	1336	1614
453	1338	1610
454	1341	1606
455	1344	1603
456	1346	1600
457	1349	1596
458	1351	1592
459	1353	1588
460	1355	1584
461	1357	1581
462	1360	1578
463	1363	1574
464	1365	1570
465	1367	1566
466	1369	1563
467	1371	1559
468	1375	1556
469	1377	1553
470	1379	1549
471	1381	1545
472	1383	1541
473	1386	1538
474	1389	1535
475	1391	1531
476	1394	1529
477	1397	1526
478	1400	1523
479	1404	1521
480	1407	1518
481	1409	1514
482	1411	1511
483	1414	1507
484	1417	1504
485	1419	1501
486	1422	1498
487	1424	1494
488	1426	1490
489	1430	1488
490	1433	1485
491	1435	1482
492	1437	1478
493	1440	1475
494	1442	1471
495	1446	1469
496	1448	1466
497	1451	1462
498	1453	1459
499	1455	1455
500	1457	1451
501	1461	1450
502	1464	1446
503	1465	1442
504	1467	1438
505	1469	1434
506	1472	1432
507	1476	1429
508	1478	1426
509	1480	1422
510	1483	1419
511	1485	1415
512	1490	1414
513	1493	1411
514	1495	1408
515	1498	1405
516	1500	1401
517	1503	1399
518	1506	1396
519	1508	1392
520	1510	1389
521	1513	1385
522	1515	1382
523	1518	1379
524	1520	1375
525	1523	1372
526	1525	1369
527	1527	1365
528	1530	1362
529	1533	1360
530	1536	1356
531	1538	1353
532	1540	1350
533	1543	1346
534	1546	1343
535	1549	1341
536	1552	1338
537	1554	1334
538	1556	1331
539	1561	1330
540	1563	1326
541	1566	1323
542	1569	1320
543	1571	1317
544	1577	1316
545	1580	1314
546	1583	1311
547	1586	1308
548	1589	1305
549	1592	1303
550	1595	1299
551	1597	1296
552	1599	1293
553	1603	1290
554	1606	1287
555	1608	1284
556	1610	1281
557	1613	1277
558	1615	1274
559	1619	1272
560	1621	1268
561	1623	1265
562	1626	1262
563	1627	1258
564	1630	1255
565	1633	1252
566	1635	1249
567	1638	1246
568	1640	1242
569	1643	1239
570	1646	1237
571	1649	1234
572	1652	1231
573	1654	1228
574	1656	1224
575	1659	1221
576	1663	1219
577	1666	1216
578	1668	1213
579	1670	1209
580	1673	1206
581	1677	1204
582	1679	1201
583	1681	1198
584	1684	1194
585	1686	1191
586	1690	1189
587	1693	1186
588	1696	1183
589	1698	1180
590	1700	1177
591	1705	1175
592	1708	1172
593	1710	1169
594	1712	1165
595	1715	1162
596	1719	1160
597	1721	1157
598	1724	1154
599	1727	1151
600	1729	1148
601	1732	1145
602	1736	1143
603	1738	1140
604	1741	1137
605	1744	1134
606	1748	1132
607	1751	1128
608	1753	1125
609	1756	1122
610	1759	1120
611	1764	1118
612	1767	1115
613	1769	1112
614	1771	1109
615	1775	1106
616	1778	1103
617	1780	1100
618	1783	1097
619	1785	1094
620	1787	1091
621	1791	1088
622	1793	1085
623	1796	1082
624	1798	1079
625	1801	1076
626	1804	1073
627	1807	1070
628	1809	1067
629	1811	1064
630	1814	1060
631	1817	1058
632	1820	1055
633	1823	1052
634	1825	1049
635	1827	1046
636	1829	1042
637	1834	1040
638	1836	1037
639	1838	1034
640	1841	1031
641	1843	1027
642	1846	1025
643	1849	1022
644	1851	1019
645	1853	1015
646	1855	1012
647	1858	1009
648	1862	1007
649	1865	1004
650	1867	1001
651	1869	997
652	1871	994
653	1874	991
654	1877	989
655	1880	985
656	1882	982
657	1884	979
658	1886	976
659	1889	973
660	1893	971
661	1895	967
662	1897	964
663	1899	961
664	1901	957
665	1905	955
666	1908	952
667	1910	949
668	1912	946
669	1915	943
670	1917	940
671	1921	937
672	1923	934
673	1925	931
674	1928	928
675	1931	925
676	1934	923
677	1938	920
678	1941	917
679	1943	914
680	1946	911
681	1950	909
682	1952	906
683	1954	903
684	1956	899
685	1959	896
686	1961	893
687	1965	891
688	1967	888
689	1969	885
690	1972	881
691	1974	878
692	1977	876
693	1980	873
694	1982	870
695	1984	866
696	1987	863
697	1990	861
698	1993	858
699	1996	855
700	1998	852
701	2000	849
702	2002	846
703	2006	843
704	2008	840
705	2011	837
706	2013	834
707	2016	831
708	2020	829
709	2023	826
710	2025	823
711	2028	820
712	2030	817
713	2033	814
714	2037	811
715	2039	808
716	2041	805
717	2043	802
718	2046	799
719	2049	797
720	2056	795
721	2059	792
722	2062	790
723	2066	787
724	2068	784
725	2070	781
726	2072	778
727	2074	775
728	2078	772
729	2081	769
730	2084	766
731	2086	763
732	2088	760
733	2092	758
734	2095	755
735	2097	752
736	2100	749
737	2102	746
738	2105	743
739	2108	740
740	2110	737
741	2113	734
742	2115	731
743	2118	728
744	2122	726
745	2126	723
746	2128	720
747	2130	717
748	2133	715
749	2137	712
750	2139	709
751	2141	706
752	2143	703
753	2146	700
754	2149	697
755	2152	694
756	2154	691
757	2157	688
758	2159	685
759	2161	682
760	2165	680
761	2167	677
762	2170	674
763	2173	671
764	2175	668
765	2179	665
766	2182	662
767	2184	660
768	2186	656
769	2189	654
770	2192	651
771	2196	648
772	2198	645
773	2200	642
774	2203	639
775	2205	636
776	2209	634
777	2212	631
778	2214	628
779	2216	625
780	2218	622
781	2220	619
782	2224	616
783	2226	613
784	2229	610
785	2231	607
786	2233	604
787	2237	601
788	2240	599
789	2242	596
790	2244	593
791	2247	590
792	2249	587
793	2252	584
794	2254	581
795	2257	578
796	2259	575
797	2262	572
798	2264	569
799	2268	567
800	2271	564
801	2273	561
802	2276	558
803	2278	555
804	2282	552
805	2284	549
806	2287	547
807	2289	544
808	2292	541
809	2295	538
810	2297	535
811	2300	532
812	2303	529
813	2306	527
814	2310	524
815	2312	521
816	2314	518
817	2316	515
818	2318	512
819	2322	509
820	2325	506
821	2327	503
822	2329	500
823	2331	497
824	2333	494
825	2336	492
826	2339	489
827	2342	486
828	2344	483
829	2346	480
830	2348	477
831	2352	475
832	2355	472
833	2357	469
834	2360	466
835	2362	463
836	2367	460
837	2370	458
838	2373	455
839	2375	452
840	2377	449
841	2382	447
842	2385	444
843	2388	441
844	2390	438
845	2392	435
846	2397	433
847	2400	430
848	2402	427
849	2404	424
850	2408	421
851	2412	419
852	2414	416
853	2417	413
854	2419	410
855	2424	407
856	2427	404
857	2429	402
858	2431	399
859	2434	396
860	2437	393
861	2440	390
862	2443	387
863	2445	385
864	2448	382
865	2450	379
866	2454	376
867	2456	373
868	2459	370
869	2461	367
870	2463	364
871	2466	362
872	2470	359
873	2472	356
874	2474	353
875	2476	350
876	2479	347
877	2483	345
878	2486	342
879	2488	339
880	2491	336
881	2493	333
882	2496	330
883	2499	327
884	2501	325
885	2503	322
886	2505	319
887	2508	316
888	2511	313
889	2513	310
890	2516	307
891	2519	304
892	2521	302
893	2525	299
894	2528	296
895	2530	293
896	2532	290
897	2535	287
898	2538	285
899	2541	282
900	2543	279
901	2546	276
902	2548	273
903	2550	270
904	2552	267
905	2556	265
906	2558	262
907	2560	259
908	2563	256
909	2565	253
910	2569	251
911	2572	248
912	2574	245
913	2576	242
914	2578	239
915	2581	236
916	2584	233
917	2586	231
918	2589	228
919	2591	225
920	2593	222
921	2597	219
922	2599	216
923	2602	214
924	2605	211
925	2607	208
926	2610	205
927	2613	202
928	2615	199
929	2618	197
930	2621	194
931	2624	191
932	2627	188
933	2629	185
934	2632	182
935	2634	180
936	2636	177
937	2641	174
938	2643	171
939	2646	168
940	2648	166
941	2650	163
942	2653	160
943	2656	157
944	2659	154
945	2661	151
946	2664	149
947	2667	146
948	2670	143
949	2673	140
950	2675	137
951	2677	135
952	2680	132
953	2683	129
954	2686	126
955	2688	123
956	2691	120
957	2693	118
958	2695	115
959	2699	112
960	2701	109
961	2703	106
962	2705	103
963	2707	101
964	2710	98
965	2714	95
966	2716	92
967	2718	89
968	2720	87
969	2723	84
970	2727	81
971	2729	78
972	2731	75
973	2733	72
974	2736	70
975	2738	67
976	2741	64
977	2743	61
978	2745	58
979	2748	56
980	2750	53
981	2753	50
982	2756	47
983	2758	44
984	2760	42
985	2762	39
986	2765	36
987	2767	33
988	2770	30
989	2773	28
990	2776	25
991	2778	22
992	2781	19
993	2785	16
994	2787	14
995	2790	11
996	2792	8
997	2795	5
998	2798	2
999	2801	0
